river_bassin,location,quantity,p/100 m,lat,lon,city,feature,samples
aare,luscherz-plage,194,74.0,47.0479551,7.151242,Lüscherz,bielersee,4
aare,luscherz-two,8,40.0,47.047519,7.1528292,Lüscherz,bielersee,1
aare,mannewil,69,156.0,46.996382,7.239024,Kallnach,aare,1
aare,mullermatte,2722,524.0,47.133339,7.227907,Biel/Bienne,bielersee,12
aare,nidau-strand,63,252.0,47.127196,7.232613,Nidau,bielersee,1
aare,nouvelle-plage,28,45.0,46.8566464,6.848428,Estavayer,neuenburgersee,1
aare,oben-am-see,319,504.0,46.74445107,8.0499211,Brienz (BE),brienzersee,1
aare,oberi-chlihochstetten,57,320.0,46.896025,7.532114,Rubigen,aare,1
aare,pecos-plage,104,141.0,46.80359,6.63665,Grandson,neuenburgersee,1
aare,plage-de-cheyres,872,57.5,46.818689,6.782256,Cheyres-Châbles,neuenburgersee,12
aare,plage-de-serriere,194,194.0,46.98485,6.91345,Neuchâtel,neuenburgersee,1
aare,pointe-dareuse,32,33.0,46.94619,6.87097,Boudry,neuenburgersee,1
aare,ruisseau-de-la-croix-plage,31,62.0,46.81392,6.7747,Cheyres-Châbles,neuenburgersee,1
aare,schusspark-strand,98,103.5,47.1465,7.26862,Biel/Bienne,schuss,2
aare,schutzenmatte,41,87.0,47.057666,7.634001,Burgdorf,emme,1
aare,signalpain,226,478.0,46.7862,6.64736,Yverdon-les-Bains,neuenburgersee,1
aare,spackmatt,39,36.5,47.223749,7.576711,Luterbach,aare,2
aare,strandboden-biel,247,347.0,47.13251,7.233142,Biel/Bienne,bielersee,2
aare,sundbach-strand,104,242.5,46.684386,7.794768,Beatenberg,thunersee,2
aare,thun-strandbad,233,124.0,46.739939,7.63352,Thun,thunersee,2
aare,thunersee_spiez_meierd_1,455,67.5,46.7044368,7.6578824,Spiez,thunersee,12
aare,weissenau-neuhaus,1879,180.0,46.676583,7.817528,Unterseen,thunersee,12
aare,wycheley,378,422.0,46.74037,8.04864,Brienz (BE),brienzersee,2
linth,aabach,38,122.0,47.220989,8.940365,Schmerikon,zurichsee,1
linth,flibach-river-right-bank,22,131.0,47.133742,9.105461,Weesen,walensee,1
linth,gasi-strand,934,85.0,47.128442,9.110831,Weesen,walensee,12
linth,jona-river-rastplatz,21,18.0,47.2161,8.84443,Rapperswil-Jona,jona,3
linth,kusnachter-dorfbach-tobelweg-1-4,12,11.0,47.31777,8.588258,Küsnacht (ZH),dorfbach,1
linth,limmat_dietikon_keiserp,18,36.0,47.4079891,8.4095398,Dietikon,limmat,1
linth,limmat_unterengstringen_oggierbuhrer,33,165.0,47.4094003,8.4469334,Unterengstringen,limmat,1
linth,limmat_zuerich_suterdglauserp,64,87.0,47.3945393,8.5134435,Zürich,limmat,1
linth,limmat_zuerich_wagnerc,13,37.0,47.4034956,8.4777701,Zürich,limmat,1
linth,limmat_zurich_mortensena_meiera,91,166.5,47.4002515,8.485411,Zürich,limmat,2
linth,linth_mollis,7,70.0,47.13137,9.094768,Glarus Nord,linthkanal,1
linth,linth_route9brucke,10,90.0,47.12573,9.11734,Glarus Nord,escherkanal,1
linth,linthdammweg,77,78.0,47.13179,9.09191,Weesen,linthkanal,1
linth,mols-rocks,21,84.0,47.1143432,9.2881737,Quarten,walensee,1
linth,muhlehorn-dorf,39,75.0,47.118448,9.172124,Glarus Nord,walensee,1
linth,murg-bad,35,116.0,47.115307,9.215691,Quarten,walensee,1
linth,pfafikon-bad,104,123.0,47.206766,8.774182,Freienbach,zurichsee,1
linth,rastplatz-stampf,604,202.5,47.215177,8.844286,Rapperswil-Jona,zurichsee,12
linth,reuss_hunenberg_eberhardy,2,12.0,47.2329755,8.4010121,Hünenberg,reuss,1
linth,reuss_ottenbach_schoenenbergerl,1,5.0,47.2783545,8.3942242,Merenschwand,reuss,1
linth,schmerikon-bahnhof-strand,52,208.0,47.22478,8.94418,Schmerikon,zurichsee,1
linth,seeflechsen,28,82.0,47.1302229,9.1033996,Glarus Nord,walensee,1
linth,seemuhlestrasse-strand,34,37.0,47.12864,9.2951,Walenstadt,walensee,1
linth,seez,40,87.0,47.11983,9.300251,Walenstadt,seez,1
linth,seez_spennwiesenbrucke,2,34.0,47.114948,9.310123,Walenstadt,seez,1
linth,sihl_zuerich_eggerskoehlingera,1,8.0,47.3818981,8.5383279,Zürich,sihl,1
linth,sihl_zuerich_eichenbergerd,14,46.0,47.3395883,8.5166965,Zürich,sihl,1
linth,strandbeiz,91,187.0,47.2158617,8.8430984,Rapperswil-Jona,zurichsee,1
linth,untertenzen,57,54.0,47.11526,9.25478,Quarten,walensee,1
linth,vierwaldstattersee_weggis_schoberls_1,5,25.0,47.0445321,8.4185689,Weggis,vierwaldstattersee,1
linth,vierwaldstattersee_weggis_schoberls_2,32,85.0,47.043953,8.4173076,Weggis,vierwaldstattersee,1
linth,vierwaldstattersee_weggis_schoberls_3,21,87.0,47.0299566,8.410801,Weggis,vierwaldstattersee,1
linth,walensee_walenstadt_wysse,2524,339.0,47.1218282,9.2995517,Walenstadt,walensee,12
linth,zuerichsee_richterswil_benkoem_2,704,167.0,47.2176458,8.6987133,Richterswil,zurichsee,12
linth,zuerichsee_staefa_hennm,67,608.0,47.2346431,8.7698814,Stäfa,zurichsee,1
linth,zuerichsee_waedenswil_colomboc_1,34,110.0,47.2195468,8.6919611,Richterswil,zurichsee,1
linth,zugerseecholler_cham_blarerm,62,45.0,47.1782157,8.4800128,Zug,zugersee,3
linth,zurcher-strand,1109,2180.0,47.3642,8.53742,Zürich,zurichsee,2
linth,zurichsee_kusnachterhorn_thirkell-whitej,1117,288.5,47.3176849,8.5768602,Küsnacht (ZH),zurichsee,12
linth,zurichsee_wollishofen_langendorfm,1272,186.5,47.3458899,8.5361545,Zürich,zurichsee,12
rhone,anarchy-beach,165,598.0,46.447216,6.859612,La Tour-de-Peilz,lac-leman,1
rhone,baby-plage-geneva,3275,189.0,46.208558,6.162923,Genève,lac-leman,11
rhone,baby-plage-ii-geneve,88,75.5,46.20894,6.16433,Genève,lac-leman,2
rhone,bain-des-dames,282,969.0,46.4505068,6.8580918,La Tour-de-Peilz,lac-leman,1
rhone,baye-de-montreux-g,589,374.0,46.430834,6.908778,Montreux,lac-leman,6
rhone,boiron,88,176.0,46.4910297,6.4801618,Tolochenaz,lac-leman,1
rhone,cully-plage,121,501.5,46.4888866,6.7413961,Bourg-en-Lavaux,lac-leman,2
rhone,grand-clos,7565,1771.0,46.387746,6.843686,Saint-Gingolph,lac-leman,11
rhone,la-pecherie,631,716.0,46.4639187,6.3857321,Allaman,lac-leman,3
rhone,lacleman_gland_lecoanets,134,143.0,46.4028106,6.2819586,Gland,lac-leman,2
rhone,lavey-la-source,91,455.0,46.200804,7.021866,Lavey-Morcles,rhone,1
rhone,lavey-les-bains,86,116.0,46.2051587,7.012722,Lavey-Morcles,rhone,1
rhone,lavey-les-bains-2,417,417.0,46.207726,7.011685,Lavey-Morcles,rhone,1
rhone,le-pierrier,150,268.0,46.439727,6.888968,Montreux,lac-leman,1
rhone,les-glariers,3,9.0,46.176736,7.228925,Riddes,rhone,1
rhone,les-vieux-ronquoz,9,18.0,46.2220487,7.361664,Sion,rhone,1
rhone,leuk-mattenstrasse,15,30.0,46.3147545,7.6225205,Leuk,rhone,1
rhone,maladaire,2297,227.5,46.446296,6.87696,La Tour-de-Peilz,lac-leman,12
rhone,oyonne,197,905.0,46.456682,6.852262,La Tour-de-Peilz,lac-leman,1
rhone,parc-des-pierrettes,464,1008.0,46.515215,6.575531,Saint-Sulpice (VD),lac-leman,1
rhone,plage-de-st-sulpice,326,785.0,46.513265,6.570977,Saint-Sulpice (VD),lac-leman,1
