location,project,water_name_slug,river_bassin,pcs_m,quantity,lat,lon
evole-plage,IQAASL,neuenburgersee,aare,2.78,1828,46.989477,6.92392
flibach-river-right-bank,IQAASL,walensee,linth,1.31,22,47.133742,9.105461
gals-reserve,IQAASL,bielersee,aare,1.28,48,47.0462719,7.0850075
gasi-strand,IQAASL,walensee,linth,0.8500000000000001,934,47.128442,9.110831
gerra-gambarogno,IQAASL,lago-maggiore,ticino,0.5,42,46.123366,8.785786
grand-clos,Both,lac-leman,rhone,15.92,7197,46.387746,6.843686
gummligrabbe,IQAASL,aare,aare,1.0699999999999998,13,46.98929,7.25073
hafeli,IQAASL,brienzersee,aare,3.175,277,46.6902834,7.8985922
hauterive-petite-plage,IQAASL,neuenburgersee,aare,2.96,126,47.010797,6.980304
impromptu_cudrefin,IQAASL,neuenburgersee,aare,2.23,27,46.964496,7.027936
jona-river-rastplatz,IQAASL,jona,linth,0.18,21,47.2161,8.84443
kusnachter-dorfbach-tobelweg-1-4,IQAASL,dorfbach,linth,0.11,12,47.31777,8.588258
la-pecherie,IQAASL,lac-leman,rhone,7.16,631,46.4639187,6.3857321
la-petite-plage,IQAASL,neuenburgersee,aare,0.75,1092,46.785054,6.656877
la-thiele_le-mujon_confluence,IQAASL,la-thiele,aare,0.46,9,46.77534,6.6309
lacleman_gland_lecoanets,Both,lac-leman,rhone,0.81,910,46.4028106,6.2819586
lavey-la-source,IQAASL,rhone,rhone,4.55,91,46.200804,7.021866
lavey-les-bains,IQAASL,rhone,rhone,1.16,86,46.2051587,7.012722
lavey-les-bains-2,IQAASL,rhone,rhone,4.17,417,46.207726,7.011685
le-pierrier,Both,lac-leman,rhone,10.52,1194,46.439727,6.888968
les-glariers,IQAASL,rhone,rhone,0.09,3,46.176736,7.228925
les-vieux-ronquoz,IQAASL,rhone,rhone,0.18,9,46.2220487,7.361664
leuk-mattenstrasse,IQAASL,rhone,rhone,0.3,15,46.3147545,7.6225205
ligerz-strand,IQAASL,bielersee,aare,9.1,143,47.083979,7.135894
limmat_dietikon_keiserp,SLR,limmat,linth,0.81,769,47.4079891,8.4095398
limmat_unterengstringen_oggierbuhrer,Both,limmat,linth,0.97,301,47.4094003,8.4469334
limmat_zuerich_suterdglauserp,Both,limmat,linth,0.7150000000000001,750,47.3945393,8.5134435
limmat_zuerich_wagnerc,Both,limmat,linth,0.455,199,47.4034956,8.4777701
limmat_zurich_mortensena_meiera,Both,limmat,linth,1.56,499,47.4002515,8.485411
linth_mollis,IQAASL,linthkanal,linth,0.7000000000000001,7,47.13137,9.094768
linth_route9brucke,IQAASL,escherkanal,linth,0.8999999999999999,10,47.12573,9.11734
linthdammweg,IQAASL,linthkanal,linth,0.78,77,47.13179,9.09191
luscherz-plage,IQAASL,bielersee,aare,0.74,194,47.0479551,7.151242
luscherz-two,IQAASL,bielersee,aare,0.4,8,47.047519,7.1528292
magadino-lido,IQAASL,lago-maggiore,ticino,2.92,184,46.1493486,8.8556628
maladaire,IQAASL,lac-leman,rhone,2.32,2161,46.446296,6.87696
mannewil,IQAASL,aare,aare,1.56,69,46.996382,7.239024
mols-rocks,IQAASL,walensee,linth,0.84,21,47.1143432,9.2881737
muhlehorn-dorf,IQAASL,walensee,linth,0.75,39,47.118448,9.172124
mullermatte,IQAASL,bielersee,aare,5.24,2722,47.133339,7.227907
murg-bad,IQAASL,walensee,linth,1.1600000000000001,35,47.115307,9.215691
nidau-strand,IQAASL,bielersee,aare,2.52,63,47.127196,7.232613
nouvelle-plage,IQAASL,neuenburgersee,aare,0.45,28,46.8566464,6.848428
oben-am-see,IQAASL,brienzersee,aare,5.04,319,46.74445107,8.0499211
oyonne,IQAASL,lac-leman,rhone,9.05,197,46.456682,6.852262
pacha-mama-gerra,IQAASL,lago-maggiore,ticino,0.33,26,46.123473,8.783508
parc-des-pierrettes,Both,lac-leman,rhone,8.115,722,46.515215,6.575531
pecos-plage,IQAASL,neuenburgersee,aare,1.41,104,46.80359,6.63665
pfafikon-bad,IQAASL,zurichsee,linth,1.23,104,47.206766,8.774182
plage-de-cheyres,IQAASL,neuenburgersee,aare,0.55,812,46.818689,6.782256
plage-de-st-sulpice,Both,lac-leman,rhone,8.385,1074,46.513265,6.570977
pointe-dareuse,IQAASL,neuenburgersee,aare,0.33,32,46.94619,6.87097
pont-sous-terre,IQAASL,rhone,rhone,16.0,320,46.2029598,6.13157672
preverenges,IQAASL,lac-leman,rhone,3.54,3097,46.51269,6.527657
preverenges-le-sout,IQAASL,lac-leman,rhone,2.68,268,46.5089049,6.5345263
quai-maria-belgia,Both,lac-leman,rhone,6.5600000000000005,7023,46.460156,6.836718
rastplatz-stampf,IQAASL,zurichsee,linth,2.025,604,47.215177,8.844286
reuss_hunenberg_eberhardy,Both,reuss,linth,0.85,292,47.2329755,8.4010121
reuss_ottenbach_schoenenbergerl,Both,reuss,linth,0.91,222,47.2783545,8.3942242
rivapiana,IQAASL,lago-maggiore,ticino,4.1,246,46.172079,8.813255
rocky-plage,IQAASL,lac-leman,rhone,0.68,99,46.20973675,6.16495237
route-13,IQAASL,maggia,ticino,0.91,55,46.162521,8.7825791
ruisseau-de-la-croix-plage,IQAASL,neuenburgersee,aare,0.62,31,46.81392,6.7747
san-nazzaro-gambarogno,IQAASL,lago-maggiore,ticino,0.25,27,46.130443,8.798657
schmerikon-bahnhof-strand,IQAASL,zurichsee,linth,2.08,52,47.22478,8.94418
schusspark-strand,IQAASL,schuss,aare,1.0350000000000001,98,47.1465,7.26862
seeflechsen,IQAASL,walensee,linth,0.8200000000000001,28,47.1302229,9.1033996
seemuhlestrasse-strand,IQAASL,walensee,linth,0.37,34,47.12864,9.2951
seez,IQAASL,seez,linth,0.87,40,47.11983,9.300251
seez_spennwiesenbrucke,IQAASL,seez,linth,0.34,2,47.114948,9.310123
sentiero-giro-del-golf-spiaggia,IQAASL,lago-maggiore,ticino,1.07,178,46.14577,8.79043
signalpain,IQAASL,neuenburgersee,aare,4.78,226,46.7862,6.64736
sihl_zuerich_eggerskoehlingera,Both,sihl,linth,1.3699999999999999,489,47.3818981,8.5383279
sihl_zuerich_eichenbergerd,Both,sihl,linth,0.255,146,47.3395883,8.5166965
spackmatt,IQAASL,aare,aare,0.365,39,47.223749,7.576711
strandboden-biel,IQAASL,bielersee,aare,3.47,247,47.13251,7.233142
sundbach-strand,IQAASL,thunersee,aare,2.425,104,46.684386,7.794768
thun-strandbad,IQAASL,thunersee,aare,1.2400000000000002,233,46.739939,7.63352
thunersee_spiez_meierd_1,Both,thunersee,aare,0.46,718,46.7044368,7.6578824
tiger-duck-beach,IQAASL,lac-leman,rhone,15.01,1717,46.518256,6.582546
tolochenaz,IQAASL,lac-leman,rhone,5.35,186,46.4975095,6.4828747
tschilljus,IQAASL,rhone,rhone,1.02,51,46.304399,7.580262
untertenzen,IQAASL,walensee,linth,0.5399999999999999,57,47.11526,9.25478
versoix,IQAASL,lac-leman,rhone,2.9099999999999997,583,46.289194,6.1705693
vidy-ruines,IQAASL,lac-leman,rhone,14.55,922,46.516221,6.596279
vierwaldstattersee_weggis_schoberls_1,SLR,quatre-cantons,linth,0.18,43,47.0445321,8.4185689
vierwaldstattersee_weggis_schoberls_2,SLR,quatre-cantons,linth,0.845,601,47.043953,8.4173076
