location,water_name_slug,river_bassin,city,pcs_m,quantity,lat,lon
vira-gambarogno,lago-maggiore,ticino,Gambarogno,0.0,0,46.143343,8.838759
vira-spiaggia-left-of-river,lago-maggiore,ticino,Gambarogno,0.0,0,46.1429,8.838407
walensee_walenstadt_wysse,walensee,linth,Walenstadt,0.016666666666666666,9,47.1218282,9.2995517
weissenau-neuhaus,thunersee,aare,Unterseen,0.0,0,46.676583,7.817528
wycheley,brienzersee,aare,Brienz (BE),0.895,111,46.74037,8.04864
zuerichsee_richterswil_benkoem_2,zurichsee,linth,Richterswil,0.005,2,47.2176458,8.6987133
zuerichsee_staefa_hennm,zurichsee,linth,Stäfa,0.0,0,47.2346431,8.7698814
zuerichsee_waedenswil_colomboc_1,zurichsee,linth,Richterswil,0.03,1,47.2195468,8.6919611
zugerseecholler_cham_blarerm,zugersee,linth,Zug,0.0,0,47.1782157,8.4800128
zurcher-strand,zurichsee,linth,Zürich,0.0,0,47.3642,8.53742
zurichsee_kusnachterhorn_thirkell-whitej,zurichsee,linth,Küsnacht (ZH),0.06,20,47.3176849,8.5768602
zurichsee_wollishofen_langendorfm,zurichsee,linth,Zürich,0.0,0,47.3458899,8.5361545
