survey_key,date,length,area,mac_plast_w,mic_plas_w,total_w,est_weight,num_parts_staff,num_parts_other,time_minutes,participants,project,is_2020,location,loc_date,water_name_slug,river_bassin,survey area
gasi-strand2020-08-21108,2020-08-21,108,378.0,108.0,0.033,0.11,0.0,1,0,150,"[""HD""]",2020,True,gasi-strand,"('gasi-strand', '2020-08-21')",walensee,linth,linth
gasi-strand2020-09-24103,2020-09-24,103,1200.0,55.0,0.0,0.175,0.0,1,0,120,"[""HD""]",2020,True,gasi-strand,"('gasi-strand', '2020-09-24')",walensee,linth,linth
gasi-strand2020-10-2398,2020-10-23,98,588.0,135.0,0.0,0.22,0.0,1,0,100,"[""HD""]",2020,True,gasi-strand,"('gasi-strand', '2020-10-23')",walensee,linth,linth
gasi-strand2020-11-2285,2020-11-22,85,595.0,190.0,0.08,0.31,0.0,1,0,80,"[""HD""]",2020,True,gasi-strand,"('gasi-strand', '2020-11-22')",walensee,linth,linth
gasi-strand2020-12-22100,2020-12-22,100,600.0,39.986,0.012,0.05,0.0,1,0,119,"[""HD""]",2020,True,gasi-strand,"('gasi-strand', '2020-12-22')",walensee,linth,linth
gasi-strand2021-01-21124,2021-01-21,124,124.0,100.0,0.001,0.48,0.0,1,0,75,"[""HD""]",2020,True,gasi-strand,"('gasi-strand', '2021-01-21')",walensee,linth,linth
gasi-strand2021-02-1960,2021-02-19,60,240.0,100.0,0.0,0.17,0.0,1,0,110,"[""HD""]",2020,True,gasi-strand,"('gasi-strand', '2021-02-19')",walensee,linth,linth
gasi-strand2021-03-23155,2021-03-23,155,1085.0,60.0,0.0,0.07,0.0,1,0,150,"[""HD""]",2020,True,gasi-strand,"('gasi-strand', '2021-03-23')",walensee,linth,linth
gerra-gambarogno2020-08-0980,2020-08-09,80,200.0,11.0,0.0,0.35,0.0,1,0,45,"[""PRCS""]",2020,True,gerra-gambarogno,"('gerra-gambarogno', '2020-08-09')",lago-maggiore,ticino,ticino
golene-gudo2021-05-0439,2021-05-04,39,153.0,340.0,0.0,0.915,0.0,1,0,80,"[""PRCS""]",2020,True,golene-gudo,"('golene-gudo', '2021-05-04')",ticino,ticino,ticino
grand-clos2020-05-0732,2020-05-07,32,192.0,2400.0,0.125,3.5,0.0,1,0,284,"[""HD""]",2020,True,grand-clos,"('grand-clos', '2020-05-07')",lac-leman,rhone,rhone
grand-clos2020-06-0934,2020-06-09,34,238.0,1200.0,0.253,1.6,0.0,1,0,255,"[""HD""]",2020,True,grand-clos,"('grand-clos', '2020-06-09')",lac-leman,rhone,rhone
grand-clos2020-07-0728,2020-07-07,28,168.0,5000.0,3.2,8.0,0.0,1,1,420,"[""HD"",""PRCS""]",2020,True,grand-clos,"('grand-clos', '2020-07-07')",lac-leman,rhone,rhone
grand-clos2020-08-0626,2020-08-06,26,78.0,1400.0,0.085,2.5,0.0,1,0,360,"[""HD""]",2020,True,grand-clos,"('grand-clos', '2020-08-06')",lac-leman,rhone,rhone
grand-clos2020-09-0845,2020-09-08,45,225.0,950.0,0.146,1.0,0.0,1,0,224,"[""HD""]",2020,True,grand-clos,"('grand-clos', '2020-09-08')",lac-leman,rhone,rhone
grand-clos2020-10-0628,2020-10-06,28,56.0,760.0,0.0,0.95,0.0,1,0,210,"[""HD""]",2020,True,grand-clos,"('grand-clos', '2020-10-06')",lac-leman,rhone,rhone
grand-clos2020-12-0831,2020-12-08,31,155.0,2.5,0.567,2.6,0.0,1,1,240,"[""HD""]",2020,True,grand-clos,"('grand-clos', '2020-12-08')",lac-leman,rhone,rhone
grand-clos2021-01-0768,2021-01-07,68,105.0,330.0,0.068,0.71,0.0,2,0,240,"[""HD""]",2020,True,grand-clos,"('grand-clos', '2021-01-07')",lac-leman,rhone,rhone
grand-clos2021-02-0961,2021-02-09,61,244.0,0.44,0.018,0.8,0.0,1,0,125,"[""HD""]",2020,True,grand-clos,"('grand-clos', '2021-02-09')",lac-leman,rhone,rhone
grand-clos2021-03-0918,2021-03-09,18,126.0,1900.0,0.449,2.0,0.0,1,0,310,"[""HD""]",2020,True,grand-clos,"('grand-clos', '2021-03-09')",lac-leman,rhone,rhone
grand-clos2021-04-1031,2021-04-10,31,248.0,3800.0,0.018,5.4,0.0,1,0,330,"[""HD""]",2020,True,grand-clos,"('grand-clos', '2021-04-10')",lac-leman,rhone,rhone
gummligrabbe2021-03-0312,2021-03-03,12,24.0,110.0,0.0,4.2,10.0,1,1,45,"[""HD""]",2020,True,gummligrabbe,"('gummligrabbe', '2021-03-03')",aare,aare,aare
hafeli2020-06-0841,2020-06-08,41,246.0,270.0,0.045,0.31,0.0,1,0,120,"[""HD""]",2020,True,hafeli,"('hafeli', '2020-06-08')",brienzersee,aare,aare
hafeli2020-09-0745,2020-09-07,45,225.0,90.0,0.0,0.1,0.0,1,0,120,"[""HD""]",2020,True,hafeli,"('hafeli', '2020-09-07')",brienzersee,aare,aare
hauterive-petite-plage2020-07-3142,2020-07-31,42,155.0,70.0,0.0,0.075,0.0,1,0,115,"[""HD""]",2020,True,hauterive-petite-plage,"('hauterive-petite-plage', '2020-07-31')",neuenburgersee,aare,aare
impromptu_cudrefin2020-06-0412,2020-06-04,12,24.0,60.0,0.0,0.125,0.0,1,0,70,"[""HD""]",2020,True,impromptu_cudrefin,"('impromptu_cudrefin', '2020-06-04')",neuenburgersee,aare,aare
isole-di-brissago-porto2021-05-0457,2021-05-04,57,339.0,155.0,0.019,0.995,0.0,1,0,100,"[""HD""]",2020,True,isole-di-brissago-porto,"('isole-di-brissago-porto', '2021-05-04')",lago-maggiore,ticino,ticino
jona-river-rastplatz2020-08-2011,2020-08-20,11,32.0,0.5,0.0,0.001,0.0,1,0,60,"[""HD""]",2020,True,jona-river-rastplatz,"('jona-river-rastplatz', '2020-08-20')",jona,linth,linth
jona-river-rastplatz2020-10-2235,2020-10-22,35,198.0,1.0,0.0,0.001,0.0,1,0,50,"[""HD""]",2020,True,jona-river-rastplatz,"('jona-river-rastplatz', '2020-10-22')",jona,linth,linth
jona-river-rastplatz2020-12-2239,2020-12-22,39,96.0,2.0,0.0,0.002,0.0,1,0,40,"[""HD""]",2020,True,jona-river-rastplatz,"('jona-river-rastplatz', '2020-12-22')",jona,linth,linth
kusnachter-dorfbach-tobelweg-1-42020-09-18129,2020-09-18,129,1093.0,5.0,0.0,0.34,0.0,1,0,100,"[""HD""]",2020,True,kusnachter-dorfbach-tobelweg-1-4,"('kusnachter-dorfbach-tobelweg-1-4', '2020-09-18')",dorfbach,linth,linth
la-pecherie2020-06-2339,2020-06-23,39,117.0,210.0,0.013,0.34,0.0,1,0,115,"[""HD""]",2020,True,la-pecherie,"('la-pecherie', '2020-06-23')",lac-leman,rhone,rhone
la-pecherie2020-10-0636,2020-10-06,36,120.0,320.0,0.0,0.45,0.0,1,0,138,"[""HD"",""PRCS""]",2020,True,la-pecherie,"('la-pecherie', '2020-10-06')",lac-leman,rhone,rhone
la-pecherie2021-01-2218,2021-01-22,18,96.0,235.0,0.0,0.445,0.0,1,0,110,"[""PRCS""]",2020,True,la-pecherie,"('la-pecherie', '2021-01-22')",lac-leman,rhone,rhone
la-petite-plage2020-05-1286,2020-05-12,86,318.0,200.0,0.265,0.8,0.0,1,0,160,"[""HD""]",2020,True,la-petite-plage,"('la-petite-plage', '2020-05-12')",neuenburgersee,aare,aare
la-petite-plage2020-06-1584,2020-06-15,84,697.0,70.0,0.093,0.165,0.0,1,0,150,"[""HD""]",2020,True,la-petite-plage,"('la-petite-plage', '2020-06-15')",neuenburgersee,aare,aare
la-petite-plage2020-07-17100,2020-07-17,100,300.0,40.0,0.2,0.045,0.0,1,0,120,"[""HD""]",2020,True,la-petite-plage,"('la-petite-plage', '2020-07-17')",neuenburgersee,aare,aare
la-petite-plage2020-08-1791,2020-08-17,91,855.0,160.0,0.252,0.2,0.0,1,0,135,"[""HD""]",2020,True,la-petite-plage,"('la-petite-plage', '2020-08-17')",neuenburgersee,aare,aare
la-petite-plage2020-09-1595,2020-09-15,95,883.0,85.0,0.069,0.43,0.0,1,0,135,"[""HD""]",2020,True,la-petite-plage,"('la-petite-plage', '2020-09-15')",neuenburgersee,aare,aare
la-petite-plage2020-10-19101,2020-10-19,101,404.0,40.0,0.103,0.08,0.0,2,0,140,"[""HD""]",2020,True,la-petite-plage,"('la-petite-plage', '2020-10-19')",neuenburgersee,aare,aare
la-petite-plage2020-11-15101,2020-11-15,101,434.0,195.0,0.0,0.2,0.0,1,0,130,"[""HD""]",2020,True,la-petite-plage,"('la-petite-plage', '2020-11-15')",neuenburgersee,aare,aare
la-petite-plage2020-12-1497,2020-12-14,97,487.0,1.0,0.0,0.001,0.0,1,0,55,"[""HD""]",2020,True,la-petite-plage,"('la-petite-plage', '2020-12-14')",neuenburgersee,aare,aare
la-petite-plage2021-01-16100,2021-01-16,100,400.0,170.0,0.076,0.74,0.0,1,0,115,"[""HD""]",2020,True,la-petite-plage,"('la-petite-plage', '2021-01-16')",neuenburgersee,aare,aare
la-petite-plage2021-02-1598,2021-02-15,98,490.0,239.0,0.324,0.24,0.0,1,0,180,"[""HD""]",2020,True,la-petite-plage,"('la-petite-plage', '2021-02-15')",neuenburgersee,aare,aare
la-petite-plage2021-03-1292,2021-03-12,92,478.0,55.0,0.166,0.06,0.0,1,0,160,"[""HD""]",2020,True,la-petite-plage,"('la-petite-plage', '2021-03-12')",neuenburgersee,aare,aare
la-petite-plage2021-04-1680,2021-04-16,80,320.0,440.0,0.0,0.49,0.0,1,0,150,"[""HD""]",2020,True,la-petite-plage,"('la-petite-plage', '2021-04-16')",neuenburgersee,aare,aare
la-thiele_le-mujon_confluence2020-10-1919,2020-10-19,19,13.0,1.0,0.0,0.001,0.0,1,0,65,"[""HD""]",2020,True,la-thiele_le-mujon_confluence,"('la-thiele_le-mujon_confluence', '2020-10-19')",la-thiele,aare,aare
lacleman_gland_lecoanets2020-06-1551,2020-06-15,51,306.0,40.0,0.0,0.045,0.0,1,0,100,"[""HD""]",2020,True,lacleman_gland_lecoanets,"('lacleman_gland_lecoanets', '2020-06-15')",lac-leman,rhone,rhone
lacleman_gland_lecoanets2020-10-2741,2020-10-27,41,205.0,90.0,0.0,0.09,0.0,1,0,70,"[""HD""]",2020,True,lacleman_gland_lecoanets,"('lacleman_gland_lecoanets', '2020-10-27')",lac-leman,rhone,rhone
lavey-la-source2021-01-0520,2021-01-05,20,200.0,700.0,0.0,1.2,0.0,1,0,90,"[""HD""]",2020,True,lavey-la-source,"('lavey-la-source', '2021-01-05')",rhone,rhone,rhone
lavey-les-bains-22021-02-24100,2021-02-24,100,5000.0,9000.0,0.0,80.0,0.0,1,1,180,"[""PRCS""]",2020,True,lavey-les-bains-2,"('lavey-les-bains-2', '2021-02-24')",rhone,rhone,rhone
lavey-les-bains2021-01-0570,2021-01-05,70,420.0,2600.0,0.0,3.5,0.0,1,0,165,"[""PRCS""]",2020,True,lavey-les-bains,"('lavey-les-bains', '2021-01-05')",rhone,rhone,rhone
le-pierrier2020-11-1757,2020-11-17,57,200.0,160.0,0.087,0.24,0.0,1,0,120,"[""HD""]",2020,True,le-pierrier,"('le-pierrier', '2020-11-17')",lac-leman,rhone,rhone
les-glariers2020-12-0129,2020-12-01,29,116.0,80.0,0.0,0.14,0.0,1,0,60,"[""HD""]",2020,True,les-glariers,"('les-glariers', '2020-12-01')",rhone,rhone,rhone
les-vieux-ronquoz2020-10-1552,2020-10-15,52,156.0,130.0,0.0,0.13,0.0,1,0,90,"[""HD""]",2020,True,les-vieux-ronquoz,"('les-vieux-ronquoz', '2020-10-15')",rhone,rhone,rhone
leuk-mattenstrasse2021-02-1450,2021-02-14,50,200.0,150.0,0.0,1.48,0.0,1,1,75,"[""PRCS""]",2020,True,leuk-mattenstrasse,"('leuk-mattenstrasse', '2021-02-14')",rhone,rhone,rhone
lido2021-05-0641,2021-05-06,41,113.0,365.0,0.0,0.89,0.0,1,0,125,"[""PRCS""]",2020,True,lido,"('lido', '2021-05-06')",lago-di-lugano,ticino,ticino
ligerz-strand2020-07-297,2020-07-29,7,7.0,94.0,0.0,0.095,0.0,1,0,60,"[""HD""]",2020,True,ligerz-strand,"('ligerz-strand', '2020-07-29')",bielersee,aare,aare
ligerz-strand2020-09-098,2020-09-09,8,42.0,200.0,0.0,0.2,0.0,1,0,100,"[""HD""]",2020,True,ligerz-strand,"('ligerz-strand', '2020-09-09')",bielersee,aare,aare
limmat_dietikon_keiserp2021-04-1751,2021-04-17,51,179.0,5.0,0.0,0.575,0.0,1,0,55,"[""HD""]",2020,True,limmat_dietikon_keiserp,"('limmat_dietikon_keiserp', '2021-04-17')",limmat,linth,linth
limmat_unterengstringen_oggierbuhrer2021-03-2920,2021-03-29,20,63.0,30.0,0.0,0.05,0.0,1,0,40,"[""HD""]",2020,True,limmat_unterengstringen_oggierbuhrer,"('limmat_unterengstringen_oggierbuhrer', '2021-03-29')",limmat,linth,linth
limmat_zuerich_suterdglauserp2020-05-1867,2020-05-18,67,432.0,115.0,0.001,0.98,0.0,1,0,90,"[""HD""]",2020,True,limmat_zuerich_suterdglauserp,"('limmat_zuerich_suterdglauserp', '2020-05-18')",limmat,linth,linth
limmat_zuerich_wagnerc2021-03-2937,2021-03-29,37,22.0,10.0,0.0,0.03,0.0,1,0,45,"[""HD""]",2020,True,limmat_zuerich_wagnerc,"('limmat_zuerich_wagnerc', '2021-03-29')",limmat,linth,linth
