location,latitude,longitude,city,river_bassin,population,G112,G117,G178,G200,G27,G30,G67,G74,G89,G95,Gfoam,Gfrags,dt
lacleman_gland_lecoanets,46.4028106,6.2819586,Gland,rhone,13109.0,0.0,0.0,3.0,2.5,17.0,8.0,0.0,12.0,6.0,7.0,6.5,16.0,143.0
lavey-la-source,46.200804,7.021866,Lavey-Morcles,rhone,946.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,10.0,0.0,0.0,0.0,455.0
lavey-les-bains,46.2051587,7.012722,Lavey-Morcles,rhone,946.0,0.0,0.0,0.0,0.0,0.0,11.0,31.0,0.0,7.0,0.0,0.0,4.0,116.0
lavey-les-bains-2,46.207726,7.011685,Lavey-Morcles,rhone,946.0,0.0,0.0,0.0,0.0,1.0,8.0,69.0,0.0,19.0,0.0,1.0,1.0,417.0
le-pierrier,46.439727,6.888968,Montreux,rhone,25984.0,0.0,0.0,0.0,11.0,0.0,7.0,7.0,18.0,7.0,16.0,116.0,28.0,268.0
les-glariers,46.176736,7.228925,Riddes,rhone,3133.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
les-vieux-ronquoz,46.2220487,7.361664,Sion,rhone,34708.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,18.0
leuk-mattenstrasse,46.3147545,7.6225205,Leuk,rhone,3949.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,2.0,2.0,30.0
lido,46.0020045,8.9621558,Lugano,ticino,63185.0,473.0,0.0,17.0,12.0,322.0,10.0,5.0,7.0,5.0,5.0,0.0,70.0,1002.0
ligerz-strand,47.083979,7.135894,Ligerz,aare,544.0,0.0,0.0,7.0,100.0,76.0,78.5,119.0,21.5,0.0,12.5,6.0,193.5,910.0
limmat_dietikon_keiserp,47.4079891,8.4095398,Dietikon,linth,27265.0,0.0,0.0,0.0,12.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
