slug,location,latitude,longitude,post,country,water,water_name,city_slug,water_name_slug,is_2020,city,bfsnum,population,streets,intersects,river_bassin,industrial,residential,government,agg_buildings,unk_building,roads,railways,airports,special,recreational,orchards,vineyards,horticulture,arable,meadows,farmpastures,alpinemeadows,aplinepasteurs,closed_forest,open_forest,brush_forest,woods,lakes,rivers,unproductive,bareland,glaciers,luse_total,water_value,adjusted_land_use,part_industrial,part_residential,part_government,part_agg_buildings,part_unk_building,part_roads,part_railways,part_airports,part_special,part_recreational,part_orchards,part_vineyards,part_horticulture,part_arable,part_meadows,part_farmpastures,part_alpinemeadows,part_aplinepasteurs,part_closed_forest,part_open_forest,part_brush_forest,part_woods,part_lakes,part_rivers,part_unproductive,part_bareland,part_glaciers,% to buildings,% to trans,% to recreation,% to agg,% to woods,% to water,% to unproductive,is_slr,is_mcbp,both
sihl_zuerich_eichenbergerd,Sihl_zuerich_eichenbergerD,47.3395883,8.5166965,8041,CH,r,Sihl,zurich,sihl,True,Zürich,261.0,415367.0,124347.0,0.0,linth,5.0,109.0,21.0,0.0,18.0,71.0,14.0,0.0,16.0,47.0,7.0,0.0,6.0,3.0,48.0,26.0,0.0,0.0,251.0,26.0,0.0,13.0,0.0,18.0,9.0,1.0,0.0,709.0,18.0,691.0,0.00723589001447178,0.1577424023154848,0.030390738060781478,0.0,0.02604920405209841,0.10274963820549927,0.020260492040520984,0.0,0.023154848046309694,0.06801736613603473,0.010130246020260492,0.0,0.008683068017366137,0.004341534008683068,0.0694645441389291,0.03762662807525326,0.0,0.0,0.36324167872648333,0.03762662807525326,0.0,0.01881331403762663,0.0,0.02604920405209841,0.013024602026049204,0.001447178002894356,0.0,0.24457308248914614,0.12301013024602026,0.06801736613603473,0.13024602026049203,0.4196816208393632,0.02604920405209841,0.01447178002894356,True,False,True
sihl_zuerich_scherfs,Sihl_Zuerich_ScherfS,47.3731495,8.5323698,8001,CH,r,Sihl,zurich,sihl,False,Zürich,261.0,415367.0,176898.0,2.0,linth,5.0,118.0,81.0,0.0,140.0,184.0,39.0,0.0,13.0,54.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,34.0,29.0,0.0,0.0,0.0,705.0,63.0,642.0,0.00778816199376947,0.1838006230529595,0.1261682242990654,0.0,0.21806853582554517,0.2866043613707165,0.06074766355140187,0.0,0.020249221183800622,0.08411214953271028,0.001557632398753894,0.0,0.001557632398753894,0.0,0.001557632398753894,0.0,0.0,0.0,0.003115264797507788,0.0,0.0,0.004672897196261682,0.0529595015576324,0.045171339563862926,0.0,0.0,0.0,0.5560747663551401,0.34735202492211836,0.08411214953271028,0.004672897196261682,0.0077881619937694695,0.09813084112149532,0.0,True,False,False
sihl_zurich_himmelhebern,sihl_zurich_himmelhebern,47.3430554,8.5186122,8041,CH,r,Sihl,zurich,sihl,False,Zürich,261.0,415367.0,135203.0,0.0,linth,10.0,126.0,22.0,1.0,22.0,87.0,19.0,0.0,10.0,68.0,5.0,0.0,6.0,2.0,42.0,13.0,0.0,0.0,205.0,20.0,0.0,12.0,11.0,16.0,9.0,1.0,0.0,707.0,27.0,680.0,0.014705882352941176,0.18529411764705883,0.03235294117647059,0.0014705882352941176,0.03235294117647059,0.12794117647058822,0.027941176470588237,0.0,0.014705882352941176,0.1,0.007352941176470588,0.0,0.008823529411764706,0.0029411764705882353,0.061764705882352944,0.01911764705882353,0.0,0.0,0.3014705882352941,0.029411764705882353,0.0,0.01764705882352941,0.016176470588235296,0.023529411764705882,0.013235294117647059,0.0014705882352941176,0.0,0.28088235294117647,0.15588235294117647,0.1,0.1,0.34852941176470587,0.039705882352941174,0.014705882352941176,True,False,False
sitter_gaiserwald_buehlerf,sitter_gaiserwald_buehlerf,47.4251609,9.3401037,9000,CH,r,Sitter,st-gallen,sitter,False,St. Gallen,3203.0,75833.0,99633.0,0.0,rhine,21.0,102.0,21.0,9.0,11.0,54.0,0.0,0.0,38.0,33.0,13.0,0.0,4.0,2.0,142.0,56.0,0.0,0.0,164.0,6.0,0.0,15.0,2.0,11.0,5.0,0.0,0.0,709.0,13.0,696.0,0.03017241379310345,0.14655172413793102,0.03017241379310345,0.01293103448275862,0.015804597701149427,0.07758620689655173,0.0,0.0,0.05459770114942529,0.04741379310344827,0.01867816091954023,0.0,0.005747126436781609,0.0028735632183908046,0.20402298850574713,0.08045977011494253,0.0,0.0,0.23563218390804597,0.008620689655172414,0.0,0.021551724137931036,0.0028735632183908046,0.015804597701149427,0.007183908045977011,0.0,0.0,0.29022988505747127,0.07758620689655173,0.04741379310344827,0.3117816091954023,0.2658045977011494,0.01867816091954023,0.007183908045977011,True,False,False
sitter_stgallen_jennya,Sitter_St.Gallen_JennyA,47.4102424,9.320376,9014,CH,r,Sitter,st-gallen,sitter,False,St. Gallen,3203.0,75833.0,103324.0,0.0,rhine,50.0,101.0,17.0,6.0,26.0,92.0,16.0,0.0,10.0,37.0,5.0,0.0,0.0,5.0,127.0,60.0,0.0,0.0,97.0,6.0,0.0,16.0,12.0,17.0,6.0,0.0,0.0,706.0,29.0,677.0,0.07385524372230429,0.14918759231905465,0.025110782865583457,0.008862629246676515,0.03840472673559823,0.1358936484490399,0.023633677991137372,0.0,0.014771048744460856,0.05465288035450517,0.007385524372230428,0.0,0.0,0.007385524372230428,0.18759231905465287,0.08862629246676514,0.0,0.0,0.1432791728212703,0.008862629246676515,0.0,0.023633677991137372,0.01772525849335303,0.025110782865583457,0.008862629246676515,0.0,0.0,0.310192023633678,0.15952732644017725,0.05465288035450517,0.29098966026587886,0.17577548005908422,0.04283604135893648,0.008862629246676515,True,False,False
sitter_stgallen_steinbrunnerf,sitter_stgallen_steinbrunnerf,47.4332917,9.3580747,9000,CH,r,Sitter,st-gallen,sitter,False,St. Gallen,3203.0,75833.0,98892.0,0.0,rhine,5.0,108.0,26.0,9.0,13.0,61.0,3.0,0.0,32.0,23.0,6.0,0.0,0.0,3.0,123.0,44.0,0.0,0.0,207.0,5.0,0.0,17.0,0.0,17.0,3.0,0.0,0.0,705.0,17.0,688.0,0.007267441860465116,0.1569767441860465,0.0377906976744186,0.01308139534883721,0.0188953488372093,0.08866279069767442,0.00436046511627907,0.0,0.046511627906976744,0.03343023255813953,0.00872093023255814,0.0,0.0,0.00436046511627907,0.17877906976744187,0.06395348837209303,0.0,0.0,0.3008720930232558,0.007267441860465116,0.0,0.024709302325581394,0.0,0.024709302325581394,0.00436046511627907,0.0,0.0,0.28052325581395354,0.09302325581395349,0.03343023255813953,0.2558139534883721,0.3328488372093023,0.024709302325581394,0.00436046511627907,True,False,False
sorne_birse_wwfjura,sorne_birse_WWFJura,47.3709868,7.3609099,2800,CH,r,Birs,delemont,birs,False,Delémont,6711.0,12682.0,88234.0,0.0,aare,26.0,119.0,10.0,6.0,17.0,49.0,18.0,0.0,5.0,11.0,0.0,3.0,0.0,156.0,43.0,47.0,0.0,16.0,145.0,5.0,0.0,15.0,0.0,9.0,7.0,0.0,0.0,707.0,9.0,698.0,0.03724928366762178,0.17048710601719197,0.014326647564469915,0.008595988538681949,0.024355300859598854,0.07020057306590258,0.025787965616045846,0.0,0.0071633237822349575,0.015759312320916905,0.0,0.004297994269340974,0.0,0.22349570200573066,0.06160458452722063,0.0673352435530086,0.0,0.022922636103151862,0.20773638968481375,0.0071633237822349575,0.0,0.02148997134670487,0.0,0.012893982808022923,0.01002865329512894,0.0,0.0,0.2621776504297994,0.09598853868194843,0.015759312320916905,0.3796561604584527,0.2363896848137536,0.012893982808022923,0.01002865329512894,True,False,False
spiaggia-parco-ciani,Spiaggia Parco Ciani,46.00251,8.96082,6900,CH,l,Lago di Lugano,lugano,lago-di-lugano,True,Lugano,5192.0,63185.0,87616.0,5.0,ticino,2.0,125.0,32.0,0.0,67.0,79.0,7.0,0.0,12.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,3.0,328.0,2.0,0.0,0.0,0.0,705.0,330.0,375.0,0.005333333333333333,0.3333333333333333,0.08533333333333333,0.0,0.17866666666666667,0.21066666666666667,0.018666666666666668,0.0,0.032,0.08,0.005333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0026666666666666666,0.0,0.008,0.8746666666666667,0.005333333333333333,0.0,0.0,0.0,0.6346666666666667,0.22933333333333333,0.08,0.005333333333333333,0.050666666666666665,0.88,0.0,False,False,False
spackmatt,Späckmatt,47.223749,7.576711,4542,CH,r,Aare,luterbach,aare,True,Luterbach,2527.0,3480.0,96389.0,0.0,aare,15.0,86.0,2.0,6.0,8.0,44.0,6.0,0.0,51.0,27.0,9.0,0.0,1.0,165.0,22.0,31.0,0.0,0.0,178.0,3.0,0.0,12.0,0.0,41.0,0.0,1.0,0.0,708.0,41.0,667.0,0.022488755622188907,0.12893553223388307,0.0029985007496251873,0.008995502248875561,0.01199400299850075,0.06596701649175413,0.008995502248875561,0.0,0.07646176911544228,0.04047976011994003,0.013493253373313344,0.0,0.0014992503748125937,0.24737631184407796,0.03298350824587706,0.046476761619190406,0.0,0.0,0.26686656671664166,0.004497751124437781,0.0,0.017991004497751123,0.0,0.06146926536731634,0.0,0.0014992503748125937,0.0,0.2518740629685158,0.07496251874062969,0.04047976011994003,0.34182908545727136,0.28935532233883055,0.06146926536731634,0.0014992503748125937,False,False,False
strandbeiz,Strandbeiz,47.2158617,8.8430984,8645,CH,l,Zurichsee,jona-city,zurichsee,True,Rapperswil-Jona,3340.0,26999.0,45179.0,9.0,linth,16.0,58.0,5.0,1.0,3.0,30.0,6.0,0.0,7.0,28.0,4.0,0.0,0.0,17.0,35.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,451.0,5.0,26.0,0.0,0.0,705.0,456.0,249.0,0.0642570281124498,0.23293172690763053,0.020080321285140562,0.004016064257028112,0.012048192771084338,0.12048192771084337,0.024096385542168676,0.0,0.028112449799196786,0.11244979919678715,0.01606425702811245,0.0,0.0,0.06827309236947791,0.14056224899598393,0.04819277108433735,0.0,0.0,0.0,0.0,0.0,0.004016064257028112,1.8112449799196788,0.020080321285140562,0.10441767068273092,0.0,0.0,0.3614457831325302,0.14457831325301204,0.11244979919678715,0.27309236947791166,0.004016064257028112,1.8313253012048194,0.10441767068273092,False,False,False
strandboden-biel,Strandboden-Biel,47.13251,7.233142,2503,CH,l,Bielersee,biel,bielersee,True,Biel/Bienne,371.0,55159.0,124400.0,3.0,aare,14.0,125.0,16.0,0.0,44.0,68.0,17.0,0.0,8.0,44.0,1.0,2.0,0.0,14.0,5.0,5.0,0.0,0.0,183.0,3.0,0.0,4.0,132.0,16.0,4.0,0.0,0.0,705.0,148.0,557.0,0.025134649910233394,0.2244165170556553,0.02872531418312388,0.0,0.07899461400359066,0.12208258527827648,0.03052064631956912,0.0,0.01436265709156194,0.07899461400359066,0.0017953321364452424,0.003590664272890485,0.0,0.025134649910233394,0.008976660682226212,0.008976660682226212,0.0,0.0,0.32854578096947934,0.005385996409335727,0.0,0.00718132854578097,0.236983842010772,0.02872531418312388,0.00718132854578097,0.0,0.0,0.37163375224416517,0.1526032315978456,0.07899461400359066,0.04847396768402154,0.34111310592459604,0.2657091561938959,0.00718132854578097,False,False,False
sundbach-strand,Sundbach strand,46.684386,7.794768,3803,CH,l,Thunersee,beatenberg,thunersee,True,Beatenberg,571.0,1195.0,40419.0,9.0,aare,0.0,21.0,1.0,1.0,4.0,15.0,0.0,0.0,2.0,8.0,3.0,0.0,0.0,0.0,59.0,21.0,0.0,0.0,209.0,22.0,0.0,16.0,320.0,4.0,1.0,0.0,0.0,707.0,324.0,383.0,0.0,0.05483028720626632,0.0026109660574412533,0.0026109660574412533,0.010443864229765013,0.0391644908616188,0.0,0.0,0.005221932114882507,0.020887728459530026,0.007832898172323759,0.0,0.0,0.0,0.15404699738903394,0.05483028720626632,0.0,0.0,0.5456919060052219,0.057441253263707574,0.0,0.04177545691906005,0.835509138381201,0.010443864229765013,0.0026109660574412533,0.0,0.0,0.07571801566579635,0.0391644908616188,0.020887728459530026,0.21671018276762402,0.6449086161879894,0.8459530026109661,0.0026109660574412533,False,False,False
thun-strandbad,Thun Strandbad,46.739939,7.63352,3504,CH,l,Thunersee,thun,thunersee,True,Thun,942.0,43734.0,97174.0,4.0,aare,23.0,224.0,20.0,2.0,14.0,53.0,8.0,0.0,2.0,37.0,2.0,0.0,2.0,13.0,3.0,3.0,0.0,0.0,9.0,0.0,0.0,2.0,285.0,1.0,1.0,0.0,0.0,704.0,286.0,418.0,0.05502392344497608,0.5358851674641149,0.04784688995215311,0.004784688995215311,0.03349282296650718,0.12679425837320574,0.019138755980861243,0.0,0.004784688995215311,0.08851674641148326,0.004784688995215311,0.0,0.004784688995215311,0.03110047846889952,0.007177033492822967,0.007177033492822967,0.0,0.0,0.0215311004784689,0.0,0.0,0.004784688995215311,0.6818181818181818,0.0023923444976076554,0.0023923444976076554,0.0,0.0,0.6818181818181819,0.14593301435406697,0.08851674641148326,0.05502392344497608,0.026315789473684213,0.6842105263157894,0.0023923444976076554,False,False,False
thunersee_spiez_meierd_1,thunersee_spiez_meierd_1,46.7044368,7.6578824,3646,CH,l,Thunersee,spiez,thunersee,True,Spiez,768.0,12812.0,45839.0,3.0,aare,8.0,27.0,2.0,9.0,5.0,20.0,8.0,0.0,2.0,3.0,9.0,0.0,0.0,32.0,56.0,56.0,0.0,0.0,71.0,4.0,0.0,3.0,386.0,0.0,0.0,3.0,0.0,704.0,386.0,318.0,0.025157232704402517,0.08490566037735849,0.006289308176100629,0.02830188679245283,0.015723270440251572,0.06289308176100629,0.025157232704402517,0.0,0.006289308176100629,0.009433962264150943,0.02830188679245283,0.0,0.0,0.10062893081761007,0.1761006289308176,0.1761006289308176,0.0,0.0,0.22327044025157233,0.012578616352201259,0.0,0.009433962264150943,1.2138364779874213,0.0,0.0,0.009433962264150943,0.0,0.16666666666666666,0.08805031446540881,0.009433962264150943,0.4811320754716981,0.24528301886792453,1.2138364779874213,0.009433962264150943,True,False,True
thur_schoenenberg_schaera,Thur_Schoenenberg_SchaerA,47.5240726,9.1983347,9214,CH,r,Thur,kradolf-schonenberg,thur,False,Kradolf-Schönenberg,4501.0,3592.0,70243.0,0.0,rhine,14.0,54.0,6.0,5.0,5.0,31.0,3.0,0.0,6.0,6.0,33.0,2.0,8.0,133.0,129.0,81.0,0.0,0.0,136.0,7.0,0.0,15.0,0.0,28.0,1.0,1.0,0.0,704.0,28.0,676.0,0.020710059171597635,0.07988165680473373,0.008875739644970414,0.0073964497041420114,0.0073964497041420114,0.04585798816568047,0.004437869822485207,0.0,0.008875739644970414,0.008875739644970414,0.04881656804733728,0.0029585798816568047,0.011834319526627219,0.19674556213017752,0.1908284023668639,0.11982248520710059,0.0,0.0,0.20118343195266272,0.010355029585798817,0.0,0.022189349112426034,0.0,0.04142011834319527,0.0014792899408284023,0.0014792899408284023,0.0,0.13313609467455623,0.05029585798816568,0.008875739644970414,0.5710059171597633,0.23372781065088757,0.04142011834319527,0.0029585798816568047,True,False,False
thur_schwarzenbach_meiliw,thur_schwarzenbach_meiliw,47.4467866,9.0638156,9500,CH,r,Thur,wil,thur,False,Wil (SG),3427.0,23966.0,76760.0,0.0,rhine,65.0,63.0,4.0,9.0,8.0,50.0,15.0,0.0,23.0,4.0,10.0,0.0,0.0,129.0,163.0,43.0,0.0,0.0,83.0,6.0,0.0,9.0,2.0,23.0,0.0,0.0,0.0,709.0,25.0,684.0,0.09502923976608187,0.09210526315789473,0.005847953216374269,0.013157894736842105,0.011695906432748537,0.07309941520467836,0.021929824561403508,0.0,0.033625730994152045,0.005847953216374269,0.014619883040935672,0.0,0.0,0.18859649122807018,0.23830409356725146,0.06286549707602339,0.0,0.0,0.12134502923976608,0.008771929824561403,0.0,0.013157894736842105,0.0029239766081871343,0.033625730994152045,0.0,0.0,0.0,0.25146198830409355,0.09502923976608187,0.005847953216374269,0.5043859649122807,0.14327485380116955,0.03654970760233918,0.0,True,False,False
