OBJECTID,EDGELEVEL,TOLL,LTN,MED,RST,UUID,OBJVAL,left,top,right,bottom,length,hex_id
"39805",1,Keine Gebühr,"2",Without median,Paved,{4F1E1EDB-D9E5-4464-B70E-271E381F2234},NebenStr3,2603636.467616575770080,1198187.262499999953434,2604213.817885765340179,1197687.262499999953434,"516","120862"
"39805",1,Keine Gebühr,"2",Without median,Paved,{4F1E1EDB-D9E5-4464-B70E-271E381F2234},NebenStr3,2604069.480318468064070,1198437.262499999953434,2604646.830587657634169,1197937.262499999953434,"19","121304"
"39807",1,Keine Gebühr,"2",Without median,Paved,{8429507B-09C6-4DB3-8997-AA0868AE6842},NebenStr3,2600605.378703330177814,1199937.262499999953434,2601182.728972519747913,1199437.262499999953434,"67","117765"
"39808",2,Keine Gebühr,"2",Without median,Paved,{75BD02CB-8385-47D2-B7A4-EB4D2F489068},NebenStr3,2600172.366001438349485,1199687.262499999953434,2600749.716270627453923,1199187.262499999953434,"87","117323"
"39808",2,Keine Gebühr,"2",Without median,Paved,{75BD02CB-8385-47D2-B7A4-EB4D2F489068},NebenStr3,2600605.378703330177814,1199937.262499999953434,2601182.728972519747913,1199437.262499999953434,"25","117765"
"39808",2,Keine Gebühr,"2",Without median,Paved,{75BD02CB-8385-47D2-B7A4-EB4D2F489068},NebenStr3,2600605.378703330177814,1199437.262499999953434,2601182.728972519747913,1198937.262499999953434,"79","117766"
"39809",1,Keine Gebühr,"2",Without median,Paved,{C2192EF0-C06A-4A37-8EA9-5B38DD0EEEA7},NebenStr3,2600172.366001438349485,1200187.262499999953434,2600749.716270627453923,1199687.262499999953434,"111","117322"
"39810",1,Keine Gebühr,"2",Without median,Paved,{02C1FA93-AF01-4B8F-81C2-032B9F61BC28},NebenStr3,2600172.366001438349485,1200187.262499999953434,2600749.716270627453923,1199687.262499999953434,"160","117322"
"39811",1,Keine Gebühr,"2",Without median,Paved,{11611C49-6D86-462B-9761-E9AAE2B7BEA5},NebenStr3,2599739.353299546055496,1199937.262499999953434,2600316.703568735625595,1199437.262499999953434,"20","116881"
"39811",1,Keine Gebühr,"2",Without median,Paved,{11611C49-6D86-462B-9761-E9AAE2B7BEA5},NebenStr3,2600172.366001438349485,1200187.262499999953434,2600749.716270627453923,1199687.262499999953434,"238","117322"
"39812",2,Keine Gebühr,"2",Without median,Paved,{A2515619-6D93-4F0A-95A2-3A266617583E},NebenStr3,2600172.366001438349485,1197187.262499999953434,2600749.716270627453923,1196687.262499999953434,"56","117328"
"39813",1,Keine Gebühr,"2",Without median,Paved,{E6ED0A94-50AF-47F1-BAFA-5FEF3252F855},NebenStr3,2598440.315193869173527,1200687.262499999953434,2599017.665463058743626,1200187.262499999953434,"20","115553"
