left,top,right,bottom,river_bass,location,quantity,p/100 m,lat,lon,city,samples,hex_id
2610131.658144959248602,1230437.262499999953434,2610709.008414148818702,1229937.262499999953434,aare,spackmatt,"39",36.500000000000000,47.223748999999998,7.576711000000000,Luterbach,"2","127428"
2614461.785163881257176,1211937.262499999953434,2615039.135433070827276,1211437.262499999953434,aare,schutzenmatte,"41",87.000000000000000,47.057665999999998,7.634001000000000,Burgdorf,"1","131885"
2614461.785163881257176,1176937.262499999953434,2615039.135433070827276,1176437.262499999953434,aare,thun-strandbad,"233",124.000000000000000,46.739939000000000,7.633520000000000,Thun,"2","131955"
2614461.785163881257176,1175437.262499999953434,2615039.135433070827276,1174937.262499999953434,aare,camping-gwatt-strand,"43",172.000000000000000,46.727139999999999,7.629620000000000,Thun,"1","131958"
2614894.797865773551166,1174687.262499999953434,2615472.148134963121265,1174187.262499999953434,aare,delta-park,"69",200.000000000000000,46.720078000000001,7.635304000000000,Spiez,"1","132401"
2616626.848673342727125,1172687.262499999953434,2617204.198942532297224,1172187.262499999953434,aare,thunersee_spiez_meierd_1,"455",67.500000000000000,46.704436800000003,7.657882400000000,Spiez,"12","134173"
2618791.912182803731412,1170937.262499999953434,2619369.262451993301511,1170437.262499999953434,aare,augustmutzenbergstrandweg,"7",77.000000000000000,46.686639999999997,7.689760000000000,Spiez,"1","136387"
2627019.153518755920231,1170687.262499999953434,2627596.503787945490330,1170187.262499999953434,aare,sundbach-strand,"104",242.500000000000000,46.684386000000003,7.794768000000000,Beatenberg,"2","144785"
2628751.204326324630529,1169687.262499999953434,2629328.554595514200628,1169187.262499999953434,aare,weissenau-neuhaus,"1879",180.000000000000000,46.676583000000001,7.817528000000000,Unterseen,"12","146555"
2634813.382152815815061,1171187.262499999953434,2635390.732422005385160,1170687.262499999953434,aare,hafeli,"277",317.500000000000000,46.690283399999998,7.898592200000000,Bönigen,"2","152740"
2646504.725103905424476,1177437.262499999953434,2647082.075373094994575,1176937.262499999953434,aare,oben-am-see,"319",504.000000000000000,46.744451069999997,8.049921100000002,Brienz (BE),"1","164662"
2646504.725103905424476,1176937.262499999953434,2647082.075373094994575,1176437.262499999953434,aare,wycheley,"378",422.000000000000000,46.740369999999999,8.048640000000002,Brienz (BE),"2","164663"
2646937.737805797718465,1251187.262499999953434,2647515.088074987754226,1250687.262499999953434,aare,aare_suhrespitz_badert,"7",35.000000000000000,47.405669199999998,8.066018000000000,Aarau,"1","164956"
2659928.118862564209849,1261687.262499999953434,2660505.469131753314286,1261187.262499999953434,aare,aare-limmatspitz,"70",60.000000000000000,47.501060000000003,8.237371000000000,Gebenstorf,"1","178195"
2659928.118862564209849,1261187.262499999953434,2660505.469131753314286,1260687.262499999953434,aare,aare_brugg_buchie,"23",60.000000000000000,47.494855299999998,8.236558100000000,Brugg,"1","178196"
